iter	RMSE
0	4508.548899
1	4090.671697
2	3759.675964
3	3496.986412
4	3291.865465
5	3131.465693
6	3008.153874
7	2912.883147
8	2841.124356
9	2787.598813
10	2739.746738
11	2702.170837
12	2674.727105
13	2652.640966
14	2634.962458
15	2622.36476
16	2610.347881
17	2599.599568
18	2590.453103
19	2580.011725
20	2568.607116
21	2560.864501
22	2553.083831
23	2540.680714
24	2533.522756
25	2528.778477
26	2522.055271
27	2517.724674
28	2513.344017
29	2509.777396
30	2503.061518
31	2496.336015
32	2493.244806
33	2487.441429
34	2483.75387
35	2479.522555
36	2474.473328
37	2469.265513
38	2465.569114
39	2460.349737
40	2452.104688
41	2447.380595
42	2443.220347
43	2442.904795
44	2438.613896
45	2433.185327
46	2428.953946
47	2424.917857
48	2419.795553
49	2416.295766
50	2412.925521
51	2407.040325
52	2397.591308
53	2392.396762
54	2386.066765
55	2379.667269
56	2374.039679
57	2371.076244
58	2364.676474
59	2360.397523
60	2356.326178
61	2351.191684
62	2345.687219
63	2341.705137
64	2338.251389
65	2334.408896
66	2330.513074
67	2328.778236
68	2323.079724
69	2317.831667
70	2316.24189
71	2312.477498
72	2307.511483
73	2306.033192
74	2301.736654
75	2300.407015
76	2296.771191
77	2293.551926
78	2288.993791
79	2284.296692
80	2280.055308
81	2277.346317
82	2275.691555
83	2273.041652
84	2271.024002
85	2267.733327
86	2264.644191
87	2260.997874
88	2255.478711
89	2252.494812
90	2247.241046
91	2242.898005
92	2239.5935
93	2234.958846
94	2229.781448
95	2227.648539
96	2221.361276
97	2218.852405
98	2214.330085
99	2210.686154
100	2206.513442
101	2202.725388
102	2197.914328
103	2193.934683
104	2187.019039
105	2183.457476
106	2177.129936
107	2174.150748
108	2168.903043
109	2164.957359
110	2162.482627
111	2159.905668
112	2156.982455
113	2153.207163
114	2149.862608
115	2144.142839
116	2140.713513
117	2135.447047
118	2134.218727
119	2130.844155
120	2128.921791
121	2124.137752
122	2119.974887
123	2115.521995
124	2111.516163
125	2107.08459
126	2102.678382
127	2096.529981
128	2092.367421
129	2090.159572
130	2087.100369
131	2086.517172
132	2080.778507
133	2077.376449
134	2075.870185
135	2073.763857
136	2069.316009
137	2067.697116
138	2065.465862
139	2063.130047
140	2057.364518
141	2054.935687
142	2052.030429
143	2047.855082
144	2044.072867
145	2039.710559
146	2032.667824
147	2028.628239
148	2024.706314
149	2023.280585
150	2021.929916
151	2017.142836
152	2014.706174
153	2012.159058
154	2009.994084
155	2005.257318
156	1998.984575
157	1995.85606
158	1993.843168
159	1991.204937
160	1989.256464
161	1988.03973
162	1986.737305
163	1984.517396
164	1981.997477
165	1980.61863
166	1978.082918
167	1975.894745
168	1973.865203
169	1969.728338
170	1967.235531
171	1965.962409
172	1962.729804
173	1959.503054
174	1956.657685
175	1955.482602
176	1953.266897
177	1950.247692
178	1946.337508
179	1941.998108
180	1936.90008
181	1934.706311
182	1934.403892
183	1932.639305
184	1930.044703
185	1927.99364
186	1925.214358
187	1921.775833
188	1919.740944
189	1917.330347
190	1917.321842
191	1914.027606
192	1909.582764
193	1906.579239
194	1905.148911
195	1902.692883
196	1901.248218
197	1898.465854
198	1897.229198
199	1897.223341
