iter	Passed	Remaining
0	4413	878331
1	10838	1073021
2	12803	840735
3	19663	963527
4	25816	1006833
5	33123	1070996
6	39681	1094087
7	45241	1085796
8	50554	1072883
9	57320	1089092
10	62842	1079752
11	69419	1087575
12	76010	1093385
13	82018	1089672
14	90223	1112753
15	96596	1110856
16	103657	1115845
17	110715	1119454
18	117812	1122319
19	125013	1125124
20	133304	1136257
21	141109	1141700
22	150280	1156503
23	157687	1156374
24	165726	1160083
25	173107	1158491
26	181761	1164620
27	189969	1166954
28	197000	1161623
29	204308	1157750
30	213210	1162343
31	222502	1168137
32	230352	1165723
33	237704	1160557
34	246043	1159917
35	253877	1156553
36	263075	1158956
37	271790	1158686
38	280562	1158217
39	289170	1156683
40	297651	1154308
41	305769	1150276
42	314004	1146481
43	315527	1118688
44	324052	1116179
45	332803	1114167
46	342456	1114804
47	353251	1118630
48	363996	1121703
49	374822	1124466
50	384534	1123443
51	394684	1123332
52	404051	1120670
53	414012	1119366
54	424875	1120126
55	435645	1120232
56	446481	1120120
57	456617	1117924
58	466029	1113731
59	475801	1110202
60	485994	1107430
61	496181	1104404
62	505960	1100264
63	516407	1097366
64	526343	1093174
65	536528	1089314
66	546161	1084172
67	556222	1079726
68	566179	1074920
69	577419	1072350
70	586679	1065938
71	596970	1061281
72	607354	1056631
73	617180	1050874
74	627890	1046484
75	636463	1038441
76	645082	1030456
77	653687	1022433
78	662072	1014060
79	670540	1005810
80	678889	997380
81	687293	989032
82	695045	979763
83	702404	969987
84	709819	960343
85	719111	953240
86	726296	943350
87	734799	935199
88	743377	927133
89	750543	917331
90	758634	908693
91	766946	900328
92	775369	892091
93	783926	884002
94	791926	875286
95	798862	865434
96	807252	857185
97	815279	848556
98	824482	841138
99	831986	831986
100	839717	823089
101	847539	814302
102	855228	805409
103	863334	796923
104	872030	788980
105	878359	778922
106	886998	770942
107	895154	762539
108	904079	754782
109	913365	747298
110	923614	740555
111	933218	733243
112	942886	725939
113	952360	718447
114	963059	711826
115	972205	704010
116	981745	696451
117	990307	688179
118	998803	679857
119	1007884	671922
120	1015153	662786
121	1023723	654511
122	1031472	645718
123	1039906	637361
124	1049351	629611
125	1058588	621710
126	1067910	613838
127	1077200	605925
128	1087265	598417
129	1096506	590426
130	1106201	582655
131	1117220	575537
132	1127362	567919
133	1137301	560163
134	1144068	550847
135	1151045	541668
136	1160097	533475
137	1169351	525360
138	1177909	516924
139	1184789	507767
140	1193966	499603
141	1202187	491034
142	1210917	482673
143	1217372	473422
144	1227117	465458
145	1236599	457372
146	1248146	450012
147	1256826	441587
148	1266036	433341
149	1273462	424487
150	1282748	416256
151	1292227	408071
152	1300509	399502
153	1308552	390866
154	1316455	382196
155	1324888	373686
156	1333226	365151
157	1340885	356437
158	1349004	347856
159	1356992	339248
160	1363241	330226
161	1369842	321321
162	1376733	312510
163	1383782	303757
164	1391496	295165
165	1399876	286721
166	1409269	278478
167	1418392	270169
168	1425525	261486
169	1434874	253213
170	1441552	244473
171	1449817	236016
172	1458185	227578
173	1465776	219024
174	1474186	210598
175	1480444	201878
176	1486274	193131
177	1493721	184617
178	1501224	176121
179	1507880	167542
180	1515686	159105
181	1525512	150874
182	1533100	142419
183	1541558	134048
184	1551250	125777
185	1560287	117441
186	1568898	109067
187	1578426	100750
188	1587469	92392
189	1597114	84058
190	1603707	75567
191	1613898	67245
192	1622849	58859
193	1630859	50438
194	1639684	42043
195	1648618	33645
196	1657979	25248
197	1665400	16822
198	1672821	8406
199	1680590	0
