iter	RMSE
0	1.085810176
1	1.000151854
2	0.9352266745
3	0.8783089192
4	0.8362895476
5	0.7984902317
6	0.7744456417
7	0.7507543669
8	0.7303545489
9	0.7149348939
10	0.7023210699
11	0.6932624768
12	0.6846812963
13	0.6773833929
14	0.6711533996
15	0.665622163
16	0.6612826305
17	0.6575913684
18	0.653001207
19	0.650240949
20	0.647415645
21	0.6459842963
22	0.6425528555
23	0.6405797405
24	0.6388754354
25	0.6377665318
26	0.6349867855
27	0.6343486578
28	0.6326090999
29	0.6303317753
30	0.6290380104
31	0.6267606606
32	0.624966419
33	0.6242872663
34	0.6219640456
35	0.620762394
36	0.6190667505
37	0.6178490775
38	0.6160448485
39	0.6146946859
40	0.6134557321
41	0.6125201485
42	0.6101059629
43	0.6076424396
44	0.6061887417
45	0.6046861283
46	0.6031705748
47	0.6027674937
48	0.6010384791
49	0.599218094
50	0.596955999
51	0.5956332446
52	0.5938228409
53	0.5927843025
54	0.5916973613
55	0.5907643432
56	0.5900406187
57	0.5887676619
58	0.5886429386
59	0.5878574384
60	0.5858361282
61	0.5853780953
62	0.5848875913
63	0.584233662
64	0.5830396357
65	0.5826902585
66	0.5823541137
67	0.582090579
68	0.5812902529
69	0.5809341139
70	0.5797227926
71	0.5787183007
72	0.577113229
73	0.5770227135
74	0.5748573346
75	0.5739971179
76	0.5731948793
77	0.5730451062
78	0.5727346219
79	0.572287168
80	0.5722144639
81	0.5718037703
82	0.5707170517
83	0.5696611205
84	0.5688505006
85	0.5679351533
86	0.5676433263
87	0.567526828
88	0.5665284952
89	0.5663849328
90	0.5662005375
91	0.5657113024
92	0.5639152654
93	0.5624458481
94	0.5618908949
95	0.5609427392
96	0.5590328343
97	0.5589266706
98	0.558159993
99	0.5578170213
100	0.5571322985
101	0.5564686762
102	0.5564359553
103	0.555860108
104	0.5546920014
105	0.5544225136
106	0.5543096214
107	0.5538010156
108	0.5535931336
109	0.5529862572
110	0.5523770356
111	0.5520150208
112	0.5515571104
113	0.551376032
114	0.5512508256
115	0.5505043289
116	0.5496093471
117	0.5482752207
118	0.5480359555
119	0.5466444601
120	0.546234808
121	0.5460098363
122	0.54565013
123	0.5450558447
124	0.544233919
125	0.5436215072
126	0.5431602113
127	0.5418389549
128	0.5417024091
129	0.5409175573
130	0.5406354724
131	0.5404847816
132	0.5404268144
133	0.5396535854
134	0.5389665699
135	0.5385849855
136	0.5379298003
137	0.5374205942
138	0.5373183148
139	0.5369664194
