iter	Passed	Remaining
0	7	1005
1	13	962
2	19	874
3	23	814
4	27	747
5	34	766
6	37	714
7	41	677
8	45	666
9	50	650
10	52	620
11	59	632
12	63	620
13	67	611
14	73	613
15	79	616
16	85	616
17	90	611
18	94	601
19	98	590
20	103	584
21	105	567
22	108	554
23	112	542
24	115	532
25	120	529
26	127	533
27	133	533
28	139	532
29	144	528
30	150	529
31	155	524
32	161	524
33	167	523
34	171	515
35	176	510
36	179	500
37	183	491
38	186	482
39	189	474
40	192	464
41	195	456
42	199	450
43	202	442
44	205	434
45	209	427
46	225	446
47	229	439
48	235	437
49	241	434
50	244	426
51	247	419
52	252	413
53	255	406
54	258	399
55	262	393
56	266	387
57	270	381
58	272	374
59	276	369
60	284	368
61	290	365
62	295	361
63	301	358
64	306	353
65	309	347
66	313	341
67	318	337
68	321	330
69	324	324
70	329	320
71	332	314
72	338	310
73	344	307
74	348	302
75	355	299
76	360	295
77	364	289
78	368	284
79	380	285
80	384	279
81	386	273
82	390	268
83	393	262
84	397	256
85	400	251
86	406	247
87	412	243
88	418	239
89	423	235
90	429	231
91	434	226
92	440	222
93	457	224
94	463	219
95	470	215
96	473	209
97	477	204
98	481	199
99	487	195
100	495	191
101	499	186
102	504	181
103	508	176
104	513	171
105	517	165
106	524	161
107	529	156
108	534	151
109	538	146
110	543	141
111	549	137
112	555	132
113	560	127
114	564	122
115	569	117
116	573	112
117	576	107
118	580	102
119	583	97
120	587	92
121	590	87
122	601	83
123	604	77
124	607	72
125	611	67
126	614	62
127	617	57
128	620	52
129	624	48
130	628	43
131	631	38
132	637	33
133	643	28
134	654	24
135	660	19
136	663	14
137	667	9
138	673	4
139	678	0
